label,pix1,pix2
0,['116' '117' '116' '116' '118' '117' '115' '116' '117' '116'],['122' '123' '122' '121' '122' '122' '124' '123' '123' '121']
0,['117' '116' '116' '118' '117' '115' '116' '117' '116' '116'],['123' '122' '121' '122' '122' '124' '123' '123' '121' '124']
0,['116' '116' '118' '117' '115' '116' '117' '116' '116' '116'],['122' '121' '122' '122' '124' '123' '123' '121' '124' '122']
0,['116' '118' '117' '115' '116' '117' '116' '116' '116' '116'],['121' '122' '122' '124' '123' '123' '121' '124' '122' '123']
0,['118' '117' '115' '116' '117' '116' '116' '116' '116' '116'],['122' '122' '124' '123' '123' '121' '124' '122' '123' '124']
0,['117' '115' '116' '117' '116' '116' '116' '116' '116' '116'],['122' '124' '123' '123' '121' '124' '122' '123' '124' '123']
0,['115' '116' '117' '116' '116' '116' '116' '116' '116' '115'],['124' '123' '123' '121' '124' '122' '123' '124' '123' '123']
0,['116' '117' '116' '116' '116' '116' '116' '116' '115' '138'],['123' '123' '121' '124' '122' '123' '124' '123' '123' '122']
0,['117' '116' '116' '116' '116' '116' '116' '115' '138' '111'],['123' '121' '124' '122' '123' '124' '123' '123' '122' '123']
0,['116' '116' '116' '116' '116' '116' '115' '138' '111' '124'],['121' '124' '122' '123' '124' '123' '123' '122' '123' '152']
0,['116' '116' '116' '116' '116' '115' '138' '111' '124' '100'],['124' '122' '123' '124' '123' '123' '122' '123' '152' '118']
0,['116' '116' '116' '116' '115' '138' '111' '124' '100' '120'],['122' '123' '124' '123' '123' '122' '123' '152' '118' '130']
0,['116' '116' '116' '115' '138' '111' '124' '100' '120' '94'],['123' '124' '123' '123' '122' '123' '152' '118' '130' '123']
0,['116' '116' '115' '138' '111' '124' '100' '120' '94' '111'],['124' '123' '123' '122' '123' '152' '118' '130' '123' '101']
0,['116' '115' '138' '111' '124' '100' '120' '94' '111' '113'],['123' '123' '122' '123' '152' '118' '130' '123' '101' '103']
0,['115' '138' '111' '124' '100' '120' '94' '111' '113' '115'],['123' '122' '123' '152' '118' '130' '123' '101' '103' '116']
0,['138' '111' '124' '100' '120' '94' '111' '113' '115' '114'],['122' '123' '152' '118' '130' '123' '101' '103' '116' '121']
0,['111' '124' '100' '120' '94' '111' '113' '115' '114' '114'],['123' '152' '118' '130' '123' '101' '103' '116' '121' '123']
0,['124' '100' '120' '94' '111' '113' '115' '114' '114' '114'],['152' '118' '130' '123' '101' '103' '116' '121' '123' '122']
0,['100' '120' '94' '111' '113' '115' '114' '114' '114' '115'],['118' '130' '123' '101' '103' '116' '121' '123' '122' '122']
0,['120' '94' '111' '113' '115' '114' '114' '114' '115' '116'],['130' '123' '101' '103' '116' '121' '123' '122' '122' '124']
0,['94' '111' '113' '115' '114' '114' '114' '115' '116' '116'],['123' '101' '103' '116' '121' '123' '122' '122' '124' '122']
0,['111' '113' '115' '114' '114' '114' '115' '116' '116' '116'],['101' '103' '116' '121' '123' '122' '122' '124' '122' '123']
0,['113' '115' '114' '114' '114' '115' '116' '116' '116' '115'],['103' '116' '121' '123' '122' '122' '124' '122' '123' '121']
0,['115' '114' '114' '114' '115' '116' '116' '116' '115' '117'],['116' '121' '123' '122' '122' '124' '122' '123' '121' '124']
0,['114' '114' '114' '115' '116' '116' '116' '115' '117' '116'],['121' '123' '122' '122' '124' '122' '123' '121' '124' '122']
0,['114' '114' '115' '116' '116' '116' '115' '117' '116' '117'],['123' '122' '122' '124' '122' '123' '121' '124' '122' '122']
